province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Ben Tre,33,26,7,SSE,7.6,76,75,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Ben Tre,35,27,6,SSW,0.9,69,58,1008,2021-04-22,1.25,1.0,0.5
Ben Tre,29,25,11,SW,5.1,88,71,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Ben Tre,32,26,6,SSW,7.5,82,49,1007,2020-09-11,19.55,8.0,19.782848912912186
Ben Tre,29,24,8,ENE,4.2,85,63,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Ben Tre,32,22,5,WSW,0.0,77,20,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hoa Binh,23,16,4,S,0.0,59,47,1020,2021-01-04,17.157894736842106,15.0,15.22128673893248
Ben Tre,29,23,11,E,7.8,85,75,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Hoa Binh,24,12,5,SSE,0.0,67,12,1015,2021-01-15,25.104347826086958,22.0,20.714167502377503
Hoa Binh,27,17,6,S,0.0,70,41,1014,2021-01-23,8.272727272727273,1.0,8.77600033148255
Hoa Binh,35,26,7,SE,0.0,65,36,1000,2021-03-31,22.32967032967033,21.0,19.805192890897718
Hoa Binh,29,23,6,SSE,1.6,81,73,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Hoa Binh,32,25,7,SSE,2.1,81,64,1007,2021-04-22,1.25,1.0,0.5
Hoa Binh,30,23,3,SSW,26.3,91,72,999,2020-08-03,19.96718651044965,20.0,11.491157496711356
Hoa Binh,34,26,5,S,8.4,85,58,1006,2020-09-11,19.55,8.0,19.782848912912186
Hoa Binh,21,15,3,SE,0.0,64,54,1022,2020-12-01,47.707692307692305,49.0,5.962704600585722
Hoa Binh,22,14,4,S,0.0,69,10,1020,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hoa Binh,20,14,4,SW,0.0,65,46,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Tan An,32,23,8,SW,0.3,73,44,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Tan An,30,22,8,SSE,0.0,73,11,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Tan An,24,23,4,SE,21.4,92,73,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Tan An,37,26,12,SSE,0.0,58,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Tan An,33,27,11,SSE,11.7,68,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Tan An,34,28,8,SSW,5.9,66,71,1008,2021-04-22,1.25,1.0,0.5
Tan An,29,25,13,SW,8.5,86,69,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Tan An,32,26,9,SSW,8.6,79,52,1007,2020-09-11,19.55,8.0,19.782848912912186
Tan An,29,24,6,ESE,7.1,84,69,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
Tan An,33,23,6,SSW,0.0,76,14,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Tan An,31,23,12,ENE,1.5,79,55,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Bien Hoa,32,24,9,ESE,0.0,68,43,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248
Bien Hoa,32,23,8,SSE,0.0,67,8,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Bien Hoa,25,18,5,SE,31.5,90,84,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
